G,Sport,Team,Opponent,Conf,Result,Pts,Opp,W,L,Streak,Pt_Diff,1_Score
1,Football,Nebraska,Illinois,Big Ten,L,22,30,0,1,L 1,-8,TRUE
2,Football,Nebraska,Fordham,Non-Major,W,52,7,1,1,W 1,45,FALSE
3,Football,Nebraska,Buffalo,MAC,W,28,3,2,1,W 2,25,FALSE
4,Football,Nebraska,(3) Oklahoma,Big 12,L,16,23,2,2,L 1,-7,TRUE
5,Football,Nebraska,(20) Michigan State,Big Ten,L,20,23,2,3,L 2,-3,TRUE
6,Football,Nebraska,Northwestern,Big Ten,W,56,7,3,3,W 1,49,FALSE
7,Football,Nebraska,(9) Michigan,Big Ten,L,29,32,3,4,L 1,-3,TRUE
8,Football,Nebraska,Minnesota,Big Ten,L,23,30,3,5,L 2,-7,TRUE
9,Football,Nebraska,Purdue,Big Ten,L,23,28,3,6,L 3,-5,TRUE
10,Football,Nebraska,(6) Ohio State,Big Ten,L,17,26,3,7,L 4,-9,FALSE
11,Football,Nebraska,(19) Wisconsin,Big Ten,L,28,35,3,8,L 5,-7,TRUE
12,Football,Nebraska,(17) Iowa,Big Ten,L,21,28,3,9,L 6,-7,TRUE
1,Basketball,Nebraska,Western Illinois,Summit,L,74,75,0,1,L 1,-1,TRUE
2,Basketball,Nebraska,Sam Houston State,WAC,W,74,65,1,1,W 1,9,FALSE
3,Basketball,Nebraska,Creighton,Big East,L,69,77,1,2,L 1,-8,FALSE
4,Basketball,Nebraska,Idaho State,Big Sky,W,78,60,2,2,W 1,18,FALSE
5,Basketball,Nebraska,Southern,SWAC,W,82,59,3,2,W 2,23,FALSE
6,Basketball,Nebraska,Tennessee State,OVC,W,79,73,4,2,W 3,6,FALSE
7,Basketball,Nebraska,South Dakota,Summit,W,83,70,5,2,W 4,13,FALSE
8,Basketball,Nebraska,NC State,ACC,L,100,104,5,3,L 1,-4,FALSE
9,Basketball,Nebraska,Indiana,Big Ten,L,55,68,5,4,L 2,-13,FALSE
10,Basketball,Nebraska,Michigan,Big Ten,L,67,102,5,5,L 3,-35,FALSE
11,Basketball,Nebraska,Auburn (18),SEC,L,68,99,5,6,L 4,-31,FALSE
12,Basketball,Nebraska,Kansas State,Big 12,L,58,67,5,7,L 5,-9,FALSE
13,Basketball,Nebraska,Kennesaw State,A-Sun,W,88,74,6,7,W 1,14,FALSE
14,Basketball,Nebraska,Ohio State (13),Big Ten,L,79,87,6,8,L 1,-8,FALSE
15,Basketball,Nebraska,Michigan State (10),Big Ten,L,67,79,6,9,L 2,-12,FALSE
16,Basketball,Nebraska,Rutgers,Big Ten,L,65,93,6,10,L 3,-28,FALSE
17,Basketball,Nebraska,Illinois (25),Big Ten,L,71,81,6,11,L 4,-10,FALSE
18,Basketball,Nebraska,Purdue (7),Big Ten,L,65,92,6,12,L 5,-27,FALSE
19,Basketball,Nebraska,Indiana,Big Ten,L,71,78,6,13,L 6,-7,FALSE
20,Basketball,Nebraska,Wisconsin (11),Big Ten,L,65,73,6,14,L 7,-8,FALSE
21,Basketball,Nebraska,Rutgers,Big Ten,L,61,63,6,15,L 8,-2,TRUE
22,Basketball,Nebraska,Michigan,Big Ten,L,79,85,6,16,L 9,-6,FALSE
23,Basketball,Nebraska,Northwestern,Big Ten,L,63,87,6,17,L 10,-24,FALSE
24,Basketball,Nebraska,Minnesota,Big Ten,W,78,65,7,17,W 1,13,FALSE
25,Basketball,Nebraska,Iowa,Big Ten,L,75,98,7,18,L 1,-23,FALSE
26,Basketball,Nebraska,Maryland,Big Ten,L,74,90,7,19,L 2,-16,FALSE
27,Basketball,Nebraska,Northwestern,Big Ten,L,65,77,7,20,L 3,-12,FALSE
28,Basketball,Nebraska,Iowa (25),Big Ten,L,78,88,7,21,L 4,-10,FALSE
29,Basketball,Nebraska,Penn State,Big Ten,W,93,70,8,21,W 1,23,FALSE
30,Basketball,Nebraska,Ohio State (23),Big Ten,W,78,70,9,21,W 2,8,FALSE
31,Basketball,Nebraska,Wisconsin (10),Big Ten,W,74,73,10,21,W 3,1,TRUE
32,Basketball,Nebraska,Northwestern,Big Ten,L,69,71,10,22,L 1,-2,TRUE
1,Baseball,Nebraska,Sam Houston State,,L,5,8,0,1,L 1,-3,TRUE
2,Baseball,Nebraska,Sam Houston State,,L,1,5,0,2,L 2,-4,TRUE
3,Baseball,Nebraska,Sam Houston State,,W,12,9,1,2,W 1,3,TRUE
4,Baseball,Nebraska,Sam Houston State,,L,3,6,1,3,L 1,-3,TRUE
5,Baseball,Nebraska,TCU,,L,1,4,1,4,L 2,-3,TRUE
6,Baseball,Nebraska,TCU,,L,3,8,1,5,L 3,-5,FALSE
7,Baseball,Nebraska,TCU,,L,3,5,1,6,L 4,-2,TRUE
8,Baseball,Nebraska,Northwestern St.,,W,2,0,2,6,W 1,2,TRUE
9,Baseball,Nebraska,UT Arlington,,L,3,4,2,7,L 1,-1,TRUE
10,Baseball,Nebraska,Northwestern St.,,W,6,0,3,7,W 1,6,FALSE
11,Baseball,Nebraska,UT Arlington,,W,8,2,4,7,W2,6,FALSE
12,Baseball,Nebraska,Kansas State,,L,4,6,4,8,L 1,-2,TRUE
13,Baseball,Nebraska,Omaha,,L,3,4,4,9,L 2,-1,TRUE
14,Baseball,Nebraska,Omaha,,W,6,5,5,9,W 1,1,TRUE
15,Baseball,Nebraska,New Mexico State,,W,12,6,6,9,W 2,6,FALSE
16,Baseball,Nebraska,New Mexico State,,W,6,5,7,9,W 3,1,TRUE
17,Baseball,Nebraska,Texas A&M - Corpus Christi,,W,13,12,8,9,W 4,1,TRUE
18,Baseball,Nebraska,Texas A&M - Corpus Christi,,L,1,4,8,10,L 1,-3,TRUE
19,Baseball,Nebraska,Texas A&M - Corpus Christi,,L,4,21,8,11,L 2,-17,FALSE
20,Baseball,Nebraska,Michigan,,W,13,9,9,11,W 1,4,TRUE
21,Baseball,Nebraska,Michigan,,L,6,8,9,12,L 1,-2,TRUE
22,Baseball,Nebraska,Michigan,,L,1,6,9,13,L 2,-5,FALSE
23,Baseball,Nebraska,Creighton,,L,2,3,9,14,L 3,-1,TRUE
24,Baseball,Nebraska,Ohio State,,W,5,3,10,14,W 1,2,TRUE
25,Baseball,Nebraska,Ohio State,,W,10,5,11,14,W 2,5,FALSE
26,Baseball,Nebraska,Ohio State,,W,17,5,12,14,W 3,12,FALSE
27,Baseball,Nebraska,Omaha,,L,5,6,12,15,L 1,-1,TRUE
28,Baseball,Nebraska,Rutgers,,L,5,7,12,16,L 2,-2,TRUE
29,Baseball,Nebraska,Rutgers,,L,4,5,12,17,L 3,-1,TRUE
30,Baseball,Nebraska,Rutgers,,L,1,19,12,18,L 4,-18,FALSE
31,Baseball,Nebraska,BYU,,W,1,0,13,18,W 1,1,TRUE
32,Baseball,Nebraska,BYU,,L,2,3,13,19,L 1,-1,TRUE
33,Baseball,Nebraska,BYU,,L,6,7,13,20,L 2,-1,TRUE
34,Baseball,Nebraska,BYU,,L,3,4,13,21,L 3,-1,TRUE
,,,,,,,,,,,,
